abstract_id,chunk1,chunk2,chunk3
11336940,6,17
11336940,2,
12586182,7,
12586182,11,
12867391,12,15
21499770,7,
19123151,,14
19860553,2,
10837379,11,
10837379,7,
15097262,6,
17519068,7,
25430900,3,16
24672097,,18,
24672097,,13,
16458964,,14
12485286,6,
12485286,5,
11167277,2
18327364,6,
15598478,7,10,
10901475,9,19
10901475,8,16
10901475,2,
21792284,0,13
21792284,4,
12470755,5,10
12470755,6,
9230823,15,19
9230823,10,
9230823,14,
23550916,,,
27445072,,,
10664047,7,
10664047,8,
21851642,7,11
15857284,9,
15857284,7,
22775229,,12
12383812,8,10,
12466165,2,,
12466165,5,,
20545217,9,
25533656,,,40
25533656,,,41
20429818,,12
20429818,,15
12483094,8,
12483094,11,
12660585,12,,
12660585,4,,
12660585,9,,
1524115,5,
25432143,10,15
25432143,9,
8694726,9,
8694726,8,
17571086,,,
17407624,,14
21257146,16,26
21257146,18,
17197028,14,
1882923,6
1882923,5
16750448,5,14,
16750448,4,,
10877373,6,
10877373,12,
8123096,7
8123096,8
8123096,14
16825272,14,16
16825272,13,
16825272,3,
22320418,9,11
11825814,14,15,
11825814,11,,
11825814,13,,
17244215,5,
17244215,6,
16009829,9,
16009829,10,
26578422,11,22
26578422,,13
11558817,5,11
11558817,7,
15094733,10,
15094733,2,
21034177,10,12
21034177,7,
11952485,2,
15037890,8,11
15037890,9,
26940161,,20
9331215,8,13
9331215,7,
23203707,8,
10080213,9,23,
10080213,5,16,
14736774,8,11
14736774,7,
18402717,8,14
18402717,,12
18535605,,,
18721251,11,
19726422,10,12
19726422,3,
8628544,10,17
12486510,8,
12486510,9,
15220019,6,16,
15220019,,19,
19476406,,,
23950156,,,
