abstract_id,chunk1,chunk2,chunk3
11336940,6,17
12586182,7,
12867391,12,
21499770,7,
19123151,,12
19860553,,,
10837379,7,
10837379,4,
15097262,6,
17519068,7,
25430900,,16
24672097,,18,
16458964,,,
12485286,6,
11167277,2
18327364,6,
15598478,7,10,
10901475,9,19
21792284,0,13
21792284,4,
12470755,,,
9230823,15,
23550916,,,
27445072,,,
10664047,,,
21851642,,,
15857284,9,
22775229,,12
12383812,8,14,
12466165,,,
20545217,9,
25533656,,,40
20429818,,15
12483094,8,
12660585,12,,
12660585,4,,
12660585,9,,
1524115,5,
25432143,,15
8694726,9,
17571086,,,
17407624,,14
21257146,16,26
17197028,14,
1882923,6
16750448,5,8,
10877373,12,
8123096,13
16825272,14,16
22320418,9,11
11825814,,,
17244215,5,
17244215,6,
16009829,,,
26578422,11,22
11558817,5,11
15094733,10,
21034177,,,
11952485,2,
15037890,,,
26940161,,20
9331215,8,
9331215,7,
23203707,8,
10080213,9,23,
10080213,,22,
14736774,8,11
18402717,8,14
18535605,,,
18721251,11,
19726422,10,12
8628544,10,17
12486510,6,
15220019,6,17,
19476406,,,
23950156,,,
