,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,synonyms_prob,num_changes_in_pred,comp_mode,original_token,synonym
0,11336940,0,mology,##mo ##l,False,1,3.548925860741292e-06,5.0,18,,,,0.925853967666626,merge,0.9894475936889648,0.0,value_change,,
1,11336940,0,ames,op,False,2,6.639747880399227e-06,2.0,19,,,,0.7631992101669312,replace,0.7039489150047302,0.0,value_change,,
2,11336940,0,k,##ht,False,3,8.039311978791375e-06,3.0,20,,,,0.9031805992126465,replace,0.1781056821346283,0.0,value_change,,
3,11336940,0,ethyl,j,False,4,0.0004937206977047026,1.0,21,,,,0.7590363025665283,replace,0.07075072824954987,0.0,value_change,,
4,11336940,0,o,##hal,False,5,0.0004781323077622801,4.0,22,,,,0.7941491603851318,replace,0.024068497121334076,0.0,value_change,,
5,11336940,0,,,False,0,,,22,,,,,,,,,,
6,11336940,1,ns,131,False,1,9.73513465396536e-07,3.0,5,,,,0.8740147352218628,replace,0.032778531312942505,0.0,value_change,,
7,11336940,1,;,2001,False,2,3.6967296637158142e-06,0.0,6,,,,0.8209649324417114,replace,0.06837106496095657,0.0,value_change,,
8,11336940,1,),5,False,3,1.7753918655216694e-06,5.0,7,,,,0.986789345741272,replace,0.053720299154520035,0.0,value_change,,
9,11336940,1,,,False,0,,,7,,,,,,,,,,
10,11336940,2,placebo,double,True,1,0.22003871202468872,3,77,,,,0.8541475534439087,replace,0.24205707013607025,6.0,value_change,,
11,11336940,3,pt,hm,False,1,5.404314720180992e-07,37.0,67,,,,0.9438063502311707,replace,0.10286235064268112,0.0,value_change,,
12,11336940,3,y,l,False,2,2.7345279249857413e-06,33.0,68,,,,0.9884719848632812,replace,0.2506825029850006,0.0,value_change,,
13,11336940,3,ip,##h,False,3,4.859738055529306e-06,16.0,69,,,,0.9120659828186035,replace,0.11803595721721649,0.0,value_change,,
14,11336940,3,ng,lee,False,4,2.240352660010103e-05,36.0,70,,,,0.918927788734436,replace,0.08812427520751953,0.0,value_change,,
15,11336940,3,q,##g,False,5,1.9326689653098583e-05,26.0,71,,,,0.9827383160591125,replace,0.034229692071676254,0.0,value_change,,
16,11336940,3,h,j,False,6,2.980697900056839e-05,19.0,72,,,,0.9890710115432739,replace,0.12003642320632935,0.0,value_change,,
17,11336940,3,ch,k,False,7,3.938159716199152e-05,22.0,73,,,,0.9809858202934265,replace,0.1074938029050827,0.0,value_change,,
18,11336940,3,h,##hn,False,8,7.782843749737367e-05,23.0,74,,,,0.9470251798629761,replace,0.08008111268281937,0.0,value_change,,
19,11336940,3,cc,pt,False,9,8.101244020508602e-05,8.0,75,,,,0.9697611331939697,replace,0.2824443578720093,0.0,value_change,,
20,11336940,3,ng,chan,False,10,0.00013461678463499993,14.0,76,,,,0.9640439748764038,replace,0.045614615082740784,0.0,value_change,,
21,11336940,3,h,c,False,11,0.00015863392036408186,25.0,77,,,,0.9952028393745422,replace,0.2089230865240097,0.0,value_change,,
22,11336940,3,ng,##l,False,12,0.0003131467383354902,20.0,78,,,,0.9746477603912354,replace,0.049874819815158844,0.0,value_change,,
23,11336940,3,ng,##p,False,13,0.0005148680065758526,11.0,79,,,,0.9457451105117798,replace,0.13680975139141083,0.0,value_change,,
24,11336940,3,",",##g,False,14,0.0004860240442212671,24.0,80,,,,0.9957520365715027,replace,0.842673122882843,0.0,value_change,,
25,11336940,3,ng,##h,False,15,0.000549407210201025,29.0,81,,,,0.9546387195587158,replace,0.06323210150003433,0.0,value_change,,
