,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,synonyms_prob,num_changes_in_pred,comp_mode,original_token,synonym
0,16715577,0,en,arch,False,1,2.505433371879917e-07,0.0,8,,,,0.6205577850341797,replace,0.023244811221957207,0.0,value_change,,
1,16715577,0,itect,med,False,2,0.00020861710072495043,1.0,9,,,,0.6279970407485962,replace,0.27971720695495605,0.0,value_change,,
2,16715577,0,olver,res,False,3,6.273431790759787e-05,3.0,10,,,,0.9131087064743042,insert,0.07225838303565979,0.0,value_change,,
3,16715577,0,itations,res,False,4,9.452856465941295e-05,2.0,11,,,,0.8029028177261353,replace,0.27845078706741333,0.0,value_change,,
4,16715577,0,,,False,0,,,11,,,,,,,,,,
5,16715577,1,),4,False,1,1.2778883501596283e-05,5.0,5,,,,0.9858959317207336,replace,0.07228714972734451,0.0,value_change,,
6,16715577,1,;,2006,False,2,1.9888106180587783e-05,0.0,6,,,,0.7218382954597473,replace,0.07078228890895844,0.0,value_change,,
7,16715577,1,Total,37,False,3,2.9539169190684333e-06,3.0,7,,,,0.78458571434021,replace,0.059281591325998306,0.0,value_change,,
8,16715577,1,,,False,0,,,7,,,,,,,,,,
9,16715577,2,cy,##ep ##iri,False,1,0.00035058014327660203,22.0,49,,,,0.9425446391105652,merge,0.13913530111312866,0.0,value_change,,
10,16715577,2,rom,g,False,2,8.366846486751456e-06,21.0,50,,,,0.9305812120437622,insert,0.04011768475174904,0.0,value_change,,
11,16715577,2,vs,##de,False,3,0.00019839561718981713,25.0,51,,,,0.9605767726898193,insert,0.24866168200969696,0.0,value_change,,
12,16715577,2,.,insulin,False,4,5.787588179373415e-06,6.0,52,,,,0.9717578887939453,replace,0.43750259280204773,0.0,value_change,,
13,16715577,2,act,##gin,False,5,0.00013441000191960484,9.0,53,,,,0.9018620252609253,replace,0.12268202006816864,0.0,value_change,,
14,16715577,2,erman,##lar ##gin,False,6,5.7910474424716085e-05,8.0,54,,,,0.9178330898284912,merge,0.1969233602285385,0.0,value_change,,
15,16715577,2,val,g ##lar,False,7,0.000461534655187279,7.0,55,,,,0.9465775489807129,merge,0.3537370562553406,0.0,value_change,,
16,16715577,2,",",##h insulin,False,8,0.0013659216929227114,14.0,56,,,,0.7986654043197632,merge,0.25630441308021545,0.0,value_change,,
17,16715577,2,Role,therapy,False,9,0.0013232113560661674,0.0,57,,,,0.894666314125061,replace,0.03349268436431885,0.0,value_change,,
18,16715577,2,methyl,g,False,10,0.0021388367749750614,20.0,58,,,,0.9064427018165588,replace,0.06142003461718559,0.0,value_change,,
19,16715577,2,vs,##de,False,11,0.0021965790074318647,24.0,59,,,,0.9796364307403564,replace,0.18793900310993195,0.0,value_change,,
20,16715577,2,II,2 diabetes,False,12,0.00164229073561728,3.0,60,,,,0.9182353019714355,merge,0.2182929515838623,0.0,value_change,,
21,16715577,2,plasma,np ##h,False,13,0.0007328445790335536,13.0,61,,,,0.9121441841125488,merge,0.028661660850048065,0.0,value_change,,
22,16715577,2,oline,##e vs,False,14,0.0008587280171923339,10.0,62,,,,0.9167507886886597,merge,0.10414042323827744,0.0,value_change,,
23,16715577,2,a,in,False,15,0.0019916908349841833,18.0,63,,,,0.9644626379013062,insert,0.06466961652040482,0.0,value_change,,
24,16715577,2,treating,in,False,16,0.002246478572487831,2.0,64,,,,0.937832236289978,insert,0.8807674646377563,0.0,value_change,,
25,16715577,2,,,False,0,,,64,,,,,,,,,,
26,16715577,3,",",la study,False,1,0.00036585540510714054,42.0,79,,,,0.8700962066650391,merge,0.2286980003118515,0.0,value_change,,
