abstract_id,chunk1,chunk2,chunk3
16715577,9,11
16715577,10,
28345162,3,13,
19108786,3,15,25,
19108786,9,,27,
27650977,3,19,25
14706058,12,
14706058,14,
27321385,3,13
27321385,4,
24650952,3,19,
24650952,0,,
15842521,3,10
28035868,4,14,
28035868,13,,
18204830,7,11,
18204830,,17,
18761646,2,8
21114605,3,12
21114605,2,
22313154,3,11,
25753488,4,14,
25753488,,15,
23706759,3,19
21819517,2,9
21819517,3,
21802161,9,
21802161,3,
23906445,3,11
17929538,0,12
17929538,6,
23404788,3,11
23404788,9,
18194595,3,14
17115351,3,11,
17115351,,7,
20920045,3,11
20920045,8,
22672081,3,11
22742523,6,14
22742523,8,
23949898,5,14,19
28923291,4,17,23
29862619,4,21,26
29862619,0,22,
17404349,3,19,
17404349,14,,
12734781,5,
12734781,3,
28547998,7,11
28547998,10,
23039321,6,11
23039321,7,
17157112,2,13,19
28483786,0,19,
28483786,6,,
16505498,0,13
16505498,1,
19565569,4,12,
19565569,,11,
20092585,3,17,
20092585,2,11,
24205943,3,14
17593236,0,10,19
17593236,2,15,
24639432,3,14
24639432,9,
23082447,2,
23082447,1,
28345792,10,16,
28345792,3,,
19307526,2,17
19307526,3,
29017497,3,16,19,
23230096,0,21
23230096,14,
24237386,6,15
24237386,5,
15205563,4,16
15205563,8,
29362626,4,11
29362626,8,
11315821,3,12
11315821,0,
23628617,0,12
23628617,4,
18158076,2,9,14,21,
23627775,5,11
23627775,0,
20415692,6,10
19336625,4,12,15
14578243,0,10
14578243,1,
15715892,3,13
15715892,11,
21138825,3,20,
21138825,4,,
26598090,4,15,25
26598090,7,17,
26598090,10,,
23948125,4,25
23948125,,24
28026912,3,26,29,37
28026912,,27,,
28548024,4,16
27711199,0,22,
27711199,10,,
23160726,3,
23160726,0,
20200301,0,10
22134839,10,12,
27589252,3,13,
26950829,3,13
20880343,3,14
20880343,5,
