,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,comp_mode,original_token,synonym
0,11336940,0,ulia,j,False,1,22.541706085205078,2,14,[],0,0.045649852603673935,0.9001345634460449,insert,,,
1,11336940,0,itis,##l,True,2,24.68017578125,7,15,[0],1,0.3215118944644928,0.8479229211807251,insert,,,
2,11336940,1,;,2001,False,1,0.27154189348220825,0.0,4,[],0.0,0.06837106496095657,0.8209649324417114,replace,,,
3,11336940,1,),5,False,2,0.4435270130634308,5.0,5,[],0.0,0.053720299154520035,0.986789345741272,replace,,,
4,11336940,1,,,False,0,,,5,,,,,,,,
5,11336940,2,cohort,crossover,False,1,21.153051376342773,7,70,[],0,0.23156370222568512,0.8964288234710693,insert,,,
6,11336940,2,ervative,##t,False,2,22.987585067749023,13,71,[],0,0.09195982664823532,0.8745030164718628,replace,,,
7,11336940,2,ocl,##tan,False,3,25.943302154541016,11,72,[],0,0.1479799747467041,0.8707735538482666,insert,,,
8,11336940,2,hy,hyper,False,4,26.298715591430664,42,73,[],0,0.3151372969150543,0.7018649578094482,insert,,,
9,11336940,2,placebo,with,True,5,26.967365264892578,20,74,[2],5,0.08357472717761993,0.8364112377166748,insert,,,
10,11336940,3,kh,",",True,1,16.904159545898438,28,47,[3],2,0.09557246416807175,0.9829061031341553,insert,,,
11,11336940,4,itative,author,False,1,15.697805404663086,1,14,[],0,0.24945293366909027,0.9638791084289551,insert,,,
12,11336940,4,scanning,eye,False,2,17.042675018310547,9,15,[],0,0.07449404895305634,0.4251330494880676,insert,,,
13,11336940,4,public,national,False,3,18.298437118530273,8,16,[],0,0.3218768239021301,0.43562495708465576,insert,,,
14,11336940,4,",",singapore national,True,4,16.990306854248047,6,17,[4],1,0.4709987938404083,0.9694819450378418,merge,,,
15,11336940,5,tub,intra ##oc,False,1,11.86397647857666,5,55,[],0,0.37395235896110535,0.7782706022262573,merge,,,
16,11336940,5,xy,uno,True,2,12.154680252075195,31,56,[5],2,0.5300334095954895,0.7469027042388916,insert,,,
17,11336940,6,hy,hyper,False,1,9.928224563598633,17,64,[],0,0.2557581067085266,0.7291224002838135,insert,,,
18,11336940,6,ond,g,False,2,11.947563171386719,10,65,[],0,0.1405482143163681,0.7445265054702759,insert,,,
19,11336940,6,hypertension,##a,False,3,13.004852294921875,13,66,[],0,0.18871553242206573,0.8312122225761414,insert,,,
20,11336940,6,used,methods,False,4,13.989927291870117,1,67,[],0,0.0995086133480072,0.9657025337219238,insert,,,
21,11336940,6,acute,primary open,True,5,13.589916229248047,5,68,[6],1,0.2071453332901001,0.8875817060470581,merge,,,
22,11336940,7,menstrual,treatment,False,1,6.644968032836914,12,26,[],0,0.22068612277507782,0.7512116432189941,replace,,,
23,11336940,7,randomized,a,False,2,7.870357990264893,8,27,[],0,0.36712023615837097,0.9034861922264099,insert,,,
24,11336940,7,placebo,week,False,3,8.454147338867188,23,28,[],0,0.12165795266628265,0.8606526255607605,insert,,,
25,11336940,7,pilot,the,False,4,9.068489074707031,1,29,[],0,0.10801183432340622,0.9297588467597961,insert,,,
26,11336940,7,treatment,the study,False,5,8.45495891571045,0,30,[],0,0.0504055954515934,0.8874906301498413,merge,,,
27,11336940,7,blind,double,False,6,8.928001403808594,4,31,[],0,0.20415376126766205,0.9751882553100586,insert,,,
28,11336940,7,by,a crossover,False,7,8.513689041137695,7,32,[],0,0.3633843660354614,0.9675425887107849,merge,,,
29,11336940,7,trial,design,False,8,8.886941909790039,10,33,[],0,0.44440507888793945,0.9232861995697021,insert,,,
30,11336940,7,consisting,periods,False,9,9.145149230957031,14,34,[],0,0.5567119717597961,0.9481638669967651,insert,,,
31,11336940,7,week,month separated,True,10,8.946372985839844,16,35,[7],2,0.41748538613319397,0.9291576147079468,merge,,,
32,11336940,8,ocular,the,False,1,5.193869113922119,1,30,[],0,0.1386549174785614,0.9484620690345764,insert,,,
33,11336940,8,last,##ular pressure,True,2,4.361030101776123,3,31,[8],1,0.1975569874048233,0.7368185520172119,merge,,,
34,11336940,9,PST,am,False,1,3.50736141204834,3,42,[],0,0.04383907839655876,0.7926033139228821,insert,,,
35,11336940,9,measurable,last,False,2,4.32609224319458,14,43,[],0,0.0969761535525322,0.8189046382904053,insert,,,
36,11336940,9,pm,am measurement,False,3,3.765028476715088,2,44,[],0,0.9098845720291138,0.8679145574569702,merge,,,
37,11336940,9,xy,uno,False,4,4.23148250579834,17,45,[],0,0.4053640365600586,0.7561730742454529,insert,,,
38,11336940,9,deposition,last drop,True,5,4.262115478515625,13,46,[9],1,0.16031794250011444,0.8635790348052979,merge,,,
39,11336940,10,variance,the measurements,False,1,1.28438401222229,3.0,12,[],0.0,0.10967880487442017,0.7380119562149048,merge,,,
40,11336940,10,All,the mean,False,2,1.660120964050293,0.0,13,[],0.0,0.10529009997844696,0.7298562526702881,merge,,,
41,11336940,10,.,calculated,False,3,1.769270420074463,6.0,14,[],0.0,0.020611612126231194,0.8289939165115356,replace,,,
42,11336940,10,,,False,0,,,14,,,,,,,,
43,11336940,12,summary,results,False,1,0.9832404851913452,1,31,[],0,0.04725733771920204,0.9393739104270935,insert,,,
44,11336940,12,during,patients completed,False,2,0.8314809799194336,5,32,[],0,0.4721001088619232,0.9090636968612671,merge,,,
45,11336940,12,Participants,six patients,False,3,1.1570645570755005,4,33,[],0,0.07739070802927017,0.8469827771186829,merge,,,
46,11336940,12,waiting,both treatment,False,4,1.3263471126556396,7,34,[],0,0.10778623074293137,0.927615225315094,merge,,,
47,11336940,12,monitored,data available,True,5,1.5065251588821411,16,35,[20],2,0.10332177579402924,0.882693886756897,merge,,,
48,11336940,13,antibiotic,of,False,1,19.283061981201172,4,86,[],0,0.46113601326942444,0.9152040481567383,insert,,,
49,11336940,13,itone,##m,False,2,23.576587677001953,24,87,[],0,0.24811765551567078,0.6980079412460327,insert,,,
50,11336940,13,tub,intra ##oc,False,3,21.880599975585938,13,88,[],0,0.2954583168029785,0.8954083323478699,merge,,,
51,11336940,13,cessation,1 month,True,4,24.086851119995117,1,89,[13],3,0.29638493061065674,0.7466530203819275,merge,,,
52,11336940,14,statistically,##ly,False,1,11.2686128616333,14,66,[],0,0.9469034075737,0.9314888715744019,insert,,,
53,11336940,14,clerosis,##t,False,2,13.72993278503418,22,67,[],0,0.28752854466438293,0.715984046459198,replace,,,
54,11336940,14,ation,favor,False,3,14.276472091674805,17,68,[],0,0.35566985607147217,0.9195745587348938,insert,,,
55,11336940,14,chlor,##tan,False,4,15.924481391906738,20,69,[],0,0.2832256257534027,0.7936590909957886,insert,,,
56,11336940,14,rad,##var,False,5,16.319255828857422,34,70,[],0,0.23040585219860077,0.9491032361984253,insert,,,
57,11336940,14,thickness,h ##g,False,6,16.978931427001953,7,71,[],0,0.10510256141424179,0.8760242462158203,merge,,,
58,11336940,14,difference,the difference,False,7,16.5511474609375,0,72,[],0,0.11712685972452164,0.9937345385551453,merge,,,
59,11336940,14,µ,mm h,False,8,15.995599746704102,6,73,[],0,0.7387015223503113,0.9176069498062134,merge,,,
60,11336940,14,5,9 mm,True,9,15.481754302978516,5,74,[14],2,0.04951566085219383,0.8767091035842896,merge,,,
61,11336940,15,untreated,the,False,1,8.00342082977295,26.0,82,[],0.0,0.08702118694782257,0.7816583514213562,insert,,,
