,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,type,num_changes_in_pred,comp_mode
0,16715577,0,,,False,,,,,,,,,,,,
1,16715577,1,,,False,,,,,,,,,,,,
2,16715577,2,insulin glargine human,glargine,,1,,7,1,,,,,,CHEMICAL,,class_change
3,16715577,2,product containing glimepiride,glimepiride,False,2,2.020819920289796e-05,21,2,,,,,,CHEMICAL,0.0,class_change
4,16715577,3,,,False,,,,,,,,,,,,
5,16715577,4,,,False,,,,,,,,,,,,
6,16715577,5,diabetes type 2,diabetes,False,1,4.439158090008277e-07,14,1,,,,,,DISEASE,0,class_change
7,16715577,6,,,False,,,,,,,,,,,,
8,16715577,7,insulin glargine human,glargine,,1,,9,1,,,,,,CHEMICAL,,class_change
9,16715577,7,product containing glimepiride,glimepiride,False,2,4.960955266142264e-05,30,2,,,,,,CHEMICAL,0.0,class_change
10,16715577,8,product containing glimepiride,glimepiride,,1,,50,1,,,,,,CHEMICAL,,class_change
11,16715577,8,insulin glargine human,glargine,False,2,0.00040062618791125715,59,2,,,,,,CHEMICAL,0.0,class_change
12,16715577,9,,,False,,,,,,,,,,,,
13,16715577,10,insulin glargine human,glargine,False,1,0.00011560424172785133,3,1,,,,,,CHEMICAL,0,class_change
14,16715577,11,nocturnal hypoglycaemia,nocturnal hypoglycemia,,1,,1,1,,,,,,DISEASE,,class_change
15,16715577,11,insulin glargine human,glargine,False,2,0.00014583123265765607,13,2,,,,,,CHEMICAL,0.0,class_change
16,16715577,12,insulin glargine human,glargine,False,1,0.00011785999231506139,3,1,,,,,,CHEMICAL,0,class_change
17,16715577,13,insulin glargine human,glargine,False,1,4.521694063441828e-05,10,1,,,,,,CHEMICAL,0,class_change
18,16715577,14,insulin glargine human,glargine,False,1,0.0002635135315358639,19,1,,,,,,CHEMICAL,0,class_change
19,16715577,15,insulin glargine human,glargine,,1,,20,1,,,,,,CHEMICAL,,class_change
20,16715577,15,product containing glimepiride,glimepiride,,2,,26,2,,,,,,CHEMICAL,,class_change
21,16715577,15,nocturnal hypoglycaemia,nocturnal hypoglycemia,False,3,1.1494653335830662e-05,44,3,,,,,,DISEASE,0.0,class_change
22,16715577,16,,,False,,,,,,,,,,,,
23,28345162,0,,,False,,,,,,,,,,,,
24,28345162,1,,,False,,,,,,,,,,,,
25,28345162,3,lixisenatide product,lixisenatide,,1,,8,1,,,,,,CHEMICAL,,class_change
26,28345162,3,product containing sitagliptin,sitagliptin,,2,,15,2,,,,,,CHEMICAL,,class_change
